metroID,metroName,City,State,09WhiteCount,09BlackCount,09HispCount,09AsianCount,09OtherCount,09TotalCount,09WhitePerc,09BlackPerc,09HispPerc,09AsianPerc,09OtherPerc,09WhiteBlackDiss,09WhiteHispDiss,09WhiteAsianDiss,09BlackHispDiss,09BlackAsianDiss,09HispAsianDiss,00WhitsCount,00BlackCount,00HispCount,00AsianCount,00OtherCount,00TotalCount,00WhitePerc,00BlackPerc,00HispPerc,00AsianPerc,00OtherPerc,00WhiteBlackDiss,00WhiteHispDiss,00WhiteAsianDiss,00BlackHispDiss,00BlackAsianDiss,00HispAsianDiss,90WhitsCount,90BlackCount,90HispCount,90AsianCount,90OtherCount,90TotalCount,90WhitePerc,90BlackPerc,90HispPerc,90AsianPerc,90OtherPerc,90WhiteBlackDiss,90WhiteHispDiss,90WhiteAsianDiss,90BlackHispDiss,90BlackAsianDiss,90HispAsianDiss,80WhitsCount,80BlackCount,80HispCount,80AsianCount,80OtherCount,80TotalCount,80WhitePerc,80BlackPerc,80HispPerc,80AsianPerc,80OtherPerc,80WhiteBlackDiss,80WhiteHispDiss,80WhiteAsianDiss,80BlackHispDiss,80BlackAsianDiss,80HispAsianDiss
48660,"Wichita Falls, TX Metropolitan Statistical Area",Wichita Falls,TX,108174,13824,20169,3040,3295,148502,72.84,9.31,13.58,2.05,2.22,55.19,36.07,41.12,47.82,45.04,48.24,115070,14034,16932,3095,2393,151524,75.94,9.26,11.17,2.04,1.58,54.25,36.53,34.92,41.22,39.8,39.02,115502,11030,10986,1805,1052,140375,82.28,7.86,7.83,1.29,0.75,62.38,37.83,38.48,50.25,48.8,37.59,116759,10856,8014,1248,1053,137930,84.65,7.87,5.81,0.9,0.76,70.84,40.06,41.74,60.89,56.17,38.67
48700,"Williamsport, PA Metropolitan Statistical Area",Williamsport,PA,108495,5109,1137,612,1690,117043,92.7,4.37,0.97,0.52,1.44,61.5,54.26,54.41,50.67,69.82,71.8,112306,5643,799,657,639,120044,93.55,4.7,0.67,0.55,0.53,60.19,34.2,28.01,34.17,58.82,35.62,114593,2779,641,454,243,118710,96.53,2.34,0.54,0.38,0.2,64.84,39.78,29.48,45.69,67.56,44.18,115736,1739,400,313,228,118416,97.74,1.47,0.34,0.26,0.19,62.47,26.73,28.96,52.99,66.69,35.56
48864,"Wilmington, DE-MD-NJ Metropolitan Division",Wilmington,DE,482847,134583,44927,21566,8902,692825,69.69,19.43,6.48,3.11,1.28,52.92,48.54,47.1,43.03,60.46,62.26,484477,116116,30097,15699,4112,650501,74.48,17.85,4.63,2.41,0.63,52.76,44.78,34.12,38.99,57.49,51.97,471204,84479,13875,7602,1427,578587,81.44,14.6,2.4,1.31,0.25,55.02,41.46,35.08,40.27,64.57,51.25,437513,72294,8517,3140,1757,523221,83.62,13.82,1.63,0.6,0.34,60.91,41.96,32.72,44.58,68.39,51.7
48900,"Wilmington, NC Metropolitan Statistical Area",Wilmington,NC,266102,48791,12489,2828,7373,337583,78.83,14.45,3.7,0.84,2.18,42.76,32.07,41.5,40.24,57.12,56.7,215248,47899,6732,2102,2551,274532,78.41,17.45,2.45,0.77,0.93,44.19,33.93,29.48,32.55,55.24,43.69,155092,41833,1559,729,797,200010,77.54,20.92,0.78,0.36,0.4,46.11,20.26,32.53,37.65,60.08,34.08,106777,30334,1083,353,470,139017,76.81,21.82,0.78,0.25,0.34,50.97,21.98,29.01,40.36,54.64,31.5
49020,"Winchester, VA-WV Metropolitan Statistical Area",Winchester,VA,104053,5831,7114,1472,2027,120497,86.35,4.84,5.9,1.22,1.68,44.38,35.82,39.71,36.94,35.59,36.46,94110,4618,2643,988,638,102997,91.37,4.48,2.57,0.96,0.62,42.05,40.5,29.36,26.91,32.15,29.32,79858,3129,603,439,139,84168,94.88,3.72,0.72,0.52,0.17,48.69,19.78,37.76,40.5,35.59,28.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49180,"Winston-Salem, NC Metropolitan Statistical Area",Winston-Salem,NC,324337,94064,41500,5386,5297,470584,68.92,19.99,8.82,1.14,1.13,56.32,50.92,57.59,38.76,62.14,64.78,306995,84238,23979,4120,2629,421961,72.75,19.96,5.68,0.98,0.62,59.71,50.52,35.72,34.36,56.19,50.76,284317,71688,2873,1790,780,361448,78.66,19.83,0.79,0.5,0.22,62.39,26.39,39.38,52.72,65.08,39.86,238937,62626,2060,701,884,305208,78.29,20.52,0.67,0.23,0.29,69.28,27.94,34.94,50.23,72.76,41.63
49340,"Worcester, MA Metropolitan Statistical Area",Worcester,MA,663886,25220,64578,29100,12942,795726,83.43,3.17,8.12,3.66,1.63,56.58,55.54,47.29,39.13,50.05,51.71,649227,21305,50864,22109,7458,750963,86.45,2.84,6.77,2.94,0.99,50.36,55.94,42.64,26.69,33.69,39.06,650265,13478,32940,11134,1888,709705,91.62,1.9,4.64,1.57,0.27,51.4,55.13,38.55,27.93,35.22,39.04,612114,8415,14200,2728,2325,639782,95.68,1.32,2.22,0.43,0.36,53.92,53.61,37.7,37.3,42.19,51.64
49420,"Yakima, WA Metropolitan Statistical Area",Yakima,WA,119823,2125,95099,2480,13384,232911,51.45,0.91,40.83,1.06,5.75,55.82,51.76,36.85,58.35,57.9,57.9,125733,2454,79905,2944,11545,222581,56.49,1.1,35.9,1.32,5.19,39.85,51.54,25.02,47.86,36.52,46.17,132147,1785,45114,1667,8110,188823,69.98,0.95,23.89,0.88,4.3,46.49,51.93,28.28,58.82,47.96,48.83,137380,1558,25455,1152,6963,172508,79.64,0.9,14.76,0.67,4.04,54.58,49.51,37.74,61.3,56.01,48.6
49620,"York-Hanover, PA Metropolitan Statistical Area",York-Hanover,PA,371108,19786,18704,4675,5290,419563,88.45,4.72,4.46,1.11,1.26,56.66,54.18,37.94,34.37,53.98,55.22,349456,15157,11296,4017,1825,381751,91.54,3.97,2.96,1.05,0.48,66.94,57.92,29.3,14.86,53.21,46.3,321249,10558,5165,2053,549,339574,94.6,3.11,1.52,0.6,0.16,73.87,55.96,31.16,26.86,61.57,48.18,299407,8968,2700,1085,803,312963,95.67,2.87,0.86,0.35,0.26,75.81,46.47,30.78,38.04,65.68,45.74
49660,"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",Youngstown-Warren-Boardman,OH,487880,61961,11955,3267,6456,571519,85.37,10.84,2.09,0.57,1.13,71.8,50.9,59.44,57.27,79.61,70.31,518429,67263,10237,3543,3492,602964,85.98,11.16,1.7,0.59,0.58,71.62,45.35,35.22,51.19,68.74,50.7,542027,60207,7906,2303,1179,613622,88.33,9.81,1.29,0.38,0.19,74.74,48.48,41.08,56.4,75.34,56.1,591924,60687,7165,1705,1749,663230,89.25,9.15,1.08,0.26,0.26,77.7,51.9,40.33,56.59,78.54,58.57
49700,"Yuba City, CA Metropolitan Statistical Area",Yuba City,CA,91909,3266,40416,16932,9114,161637,56.86,2.02,25,10.48,5.64,41.27,27.06,35.91,45.45,46.57,37.03,86852,3949,27978,15422,4948,139149,62.42,2.84,20.11,11.08,3.56,30.23,28.13,31.46,36.77,35.62,36.67,89064,3328,17320,10373,2558,122643,72.62,2.71,14.12,8.46,2.09,35.78,23.53,32.06,45.11,44.18,33.07,81335,2745,10465,4725,2709,101979,79.76,2.69,10.26,4.63,2.66,43.21,22.57,31.16,49.74,54.24,33.02
49740,"Yuma, AZ Metropolitan Statistical Area",Yuma,AZ,74026,3552,105211,1921,4273,188983,39.17,1.88,55.67,1.02,2.26,38.52,48.22,47.84,43.23,36.57,48.58,70956,3520,80772,1939,2839,160026,44.34,2.2,50.47,1.21,1.77,39.62,46.31,30.55,35.08,33.16,48.98,58151,2776,43388,1188,1392,106895,54.4,2.6,40.59,1.11,1.3,36.83,46.17,23.51,40.95,35.18,51.38,47707,2057,23703,757,1382,75606,63.1,2.72,31.35,1,1.83,47.47,37.77,32.96,44.23,56.49,46.62
