metroid,metroname,m_w_a_09,m_b_a_09,m_h_a_09,m_a_a_09,m_o_a_09,m_t_a_09,m_pw_a_09,m_pb_a_09,m_ph_a_09,m_pa_a_09,m_po_a_09,m_dwb_a_09,m_dwh_a_09,m_dwa_a_09,m_dbw_a_09,m_dbh_a_09,m_dba_a_09,m_dhw_a_09,m_dhb_a_09,m_dha_a_09,m_daw_a_09,m_dab_a_09,m_dah_a_09,m_w_a_00,m_b_a_00,m_h_a_00,m_a_a_00,m_o_a_00,m_t_a_00,m_pw_a_00,m_pb_a_00,m_ph_a_00,m_pa_a_00,m_po_a_00,m_dwb_a_00,m_dwh_a_00,m_dwa_a_00,m_dbw_a_00,m_dbh_a_00,m_dba_a_00,m_dhw_a_00,m_dhb_a_00,m_dha_a_00,m_daw_a_00,m_dab_a_00,m_dah_a_00,m_w_a_90,m_b_a_90,m_h_a_90,m_a_a_90,m_o_a_90,m_t_a_90,m_pw_a_90,m_pb_a_90,m_ph_a_90,m_pa_a_90,m_po_a_90,m_dwb_a_90,m_dwh_a_90,m_dwa_a_90,m_dbw_a_90,m_dbh_a_90,m_dba_a_90,m_dhw_a_90,m_dhb_a_90,m_dha_a_90,m_daw_a_90,m_dab_a_90,m_dah_a_90,m_w_a_80,m_b_a_80,m_h_a_80,m_a_a_80,m_o_a_80,m_t_a_80,m_pw_a_80,m_pb_a_80,m_ph_a_80,m_pa_a_80,m_po_a_80,m_dwb_a_80,m_dwh_a_80,m_dwa_a_80,m_dbw_a_80,m_dbh_a_80,m_dba_a_80,m_dhw_a_80,m_dhb_a_80,m_dha_a_80,m_daw_a_80,m_dab_a_80,m_dah_a_80
"32,580","McAllen-Edinburg-Mission, TX Metropolitan Statistical Area","62,303","3,415","627,878","5,827","3,274","702,697",8.87,0.49,89.35,0.83,0.47,62.72,38.11,42.66,62.72,70.09,62.34,38.11,70.09,56.77,42.66,62.34,56.77,"59,423","2,085","503,100","3,519","1,336","569,463",10.43,0.37,88.35,0.62,0.23,47.06,39.53,40.65,47.06,56.02,56.19,39.53,56.02,64.02,40.65,56.19,64.02,"54,259",518,"326,972",847,949,"383,545",14.15,0.14,85.25,0.22,0.25,33.91,37.89,40.28,33.91,46.69,39.77,37.89,46.69,66.16,40.28,39.77,66.16,"51,719",422,"230,212",318,558,"283,229",18.26,0.15,81.28,0.11,0.20,39.43,40.97,27.13,39.43,48.66,42.57,40.97,48.66,54.93,27.13,42.57,54.93
"32,780","Medford, OR Metropolitan Statistical Area","170,591",985,"17,426","2,437","6,597","198,036",86.14,0.50,8.80,1.23,3.33,51.04,27.46,41.82,51.04,52.69,61.85,27.46,52.69,52.99,41.82,61.85,52.99,"160,795","1,136","12,126","2,898","4,314","181,269",88.71,0.63,6.69,1.60,2.38,25.36,29.71,18.53,25.36,22.50,22.94,29.71,22.50,31.71,18.53,22.94,31.71,"136,957",319,"5,949","1,386","1,778","146,389",93.56,0.22,4.06,0.95,1.21,31.65,21.39,25.18,31.65,26.10,30.18,21.39,26.10,32.16,25.18,30.18,32.16,"126,089",163,"3,954",760,"1,490","132,456",95.19,0.12,2.99,0.57,1.12,43.62,23.38,21.12,43.62,48.94,44.75,23.38,48.94,27.55,21.12,44.75,27.55
"32,820","Memphis, TN-MS-AR Metropolitan Statistical Area","621,320","576,991","52,178","23,133","13,609","1,287,231",48.27,44.82,4.05,1.80,1.06,63.09,52.13,45.12,63.09,55.73,70.78,52.13,55.73,60.44,45.12,70.78,60.44,"625,157","526,550","28,401","18,213","6,883","1,205,204",51.87,43.69,2.36,1.51,0.57,65.70,45.98,38.31,65.70,51.25,66.70,45.98,51.25,44.60,38.31,66.70,44.60,"610,991","437,635","8,451","8,012","2,174","1,067,263",57.25,41.01,0.79,0.75,0.20,65.46,32.31,36.82,65.46,57.98,71.71,32.31,57.98,40.71,36.82,71.71,40.71,"550,585","373,271","8,517","3,958","2,446","938,777",58.65,39.76,0.91,0.42,0.26,68.76,41.48,31.92,68.76,41.30,72.25,41.48,41.30,43.42,31.92,72.25,43.42
"32,900","Merced, CA Metropolitan Statistical Area","84,708","8,760","126,272","16,991","5,504","242,235",34.97,3.62,52.13,7.01,2.27,40.47,31.24,40.65,40.47,41.43,41.74,31.24,41.43,35.10,40.65,41.74,35.10,"85,585","8,451","95,466","16,442","4,610","210,554",40.65,4.01,45.34,7.81,2.19,33.08,31.27,38.68,33.08,31.93,29.18,31.27,31.93,31.40,38.68,29.18,31.40,"96,701","7,889","58,107","14,109","1,597","178,403",54.20,4.42,32.57,7.91,0.90,35.68,33.10,46.74,35.68,37.18,37.29,33.10,37.18,37.41,46.74,37.29,37.41,"89,006","6,618","34,054","2,569","2,313","134,560",66.15,4.92,25.31,1.91,1.72,41.96,37.33,32.91,41.96,37.62,47.06,37.33,37.62,45.23,32.91,47.06,45.23
"33,100","Miami-Fort Lauderdale-Pompano Beach, FL Metropolitan Statistical Area","2,093,407","1,075,053","2,133,615","119,241","63,461","5,484,777",38.17,19.60,38.90,2.17,1.16,65.83,56.58,40.90,65.83,64.23,63.62,56.58,64.23,52.94,40.90,63.62,52.94,"2,205,930","961,557","1,704,064","99,399","36,614","5,007,564",44.05,19.20,34.03,1.98,0.73,68.51,59.00,32.01,68.51,66.18,60.55,59.00,66.18,48.61,32.01,60.55,48.61,"2,209,257","659,588","1,128,445","49,139","9,546","4,055,975",54.47,16.26,27.82,1.21,0.24,74.01,63.55,32.13,74.01,71.74,67.35,63.55,71.74,53.23,32.13,67.35,53.23,"2,079,334","457,154","649,780","17,889","16,290","3,220,447",64.57,14.20,20.18,0.56,0.51,82.08,64.28,34.38,82.08,80.16,79.04,64.28,80.16,53.45,34.38,79.04,53.45
"33,124","Miami-Miami Beach-Kendall, FL Metropolitan Division","443,615","449,470","1,507,621","37,442","18,896","2,457,044",18.05,18.29,61.36,1.52,0.77,72.52,47.95,42.87,72.52,72.43,70.36,47.95,72.43,50.91,42.87,70.36,50.91,"465,772","448,173","1,291,737","36,155","11,525","2,253,362",20.67,19.89,57.32,1.60,0.51,72.36,43.94,30.26,72.36,73.04,64.77,43.94,73.04,44.60,30.26,64.77,44.60,"585,535","369,609","953,397","24,052","4,405","1,936,998",30.23,19.08,49.22,1.24,0.23,71.76,50.32,26.88,71.76,74.78,67.06,50.32,74.78,49.25,26.88,67.06,49.25,"754,294","269,649","580,984","11,169","9,502","1,625,598",46.40,16.59,35.74,0.69,0.58,79.30,52.55,27.70,79.30,79.98,77.74,52.55,79.98,48.98,27.70,77.74,48.98
"33,140","Michigan City-La Porte, IN Metropolitan Statistical Area","91,392","11,657","4,839",514,"1,700","110,102",83.01,10.59,4.40,0.47,1.54,62.27,32.74,60.87,62.27,62.19,65.65,32.74,62.19,66.97,60.87,65.65,66.97,"93,330","11,734","3,402",657,983,"110,106",84.76,10.66,3.09,0.60,0.89,62.01,25.77,24.05,62.01,58.45,60.28,25.77,58.45,37.64,24.05,60.28,37.64,"95,229","9,522","1,576",422,317,"107,066",88.94,8.89,1.47,0.39,0.30,66.13,21.64,39.49,66.13,56.06,68.77,21.64,56.06,45.02,39.49,68.77,45.02,"98,184","8,599","1,191",351,307,"108,632",90.38,7.92,1.10,0.32,0.28,69.91,22.85,26.29,69.91,59.26,62.65,22.85,59.26,33.14,26.29,62.65,33.14
"33,260","Midland, TX Metropolitan Statistical Area","70,003","8,197","45,141","1,500","1,446","126,287",55.43,6.49,35.74,1.19,1.15,53.85,40.86,45.52,53.85,45.57,72.01,40.86,45.57,63.74,45.52,72.01,63.74,"72,015","8,208","33,676","1,233",877,"116,009",62.08,7.08,29.03,1.06,0.76,54.69,45.79,27.29,54.69,36.73,57.38,45.79,36.73,53.86,27.29,57.38,53.86,"74,499","8,016","22,780",837,479,"106,611",69.88,7.52,21.37,0.79,0.45,62.57,48.73,28.44,62.57,37.57,63.15,48.73,37.57,56.85,28.44,63.15,56.85,"62,650","7,000","12,323",265,398,"82,636",75.81,8.47,14.91,0.32,0.48,84.06,62.28,26.91,84.06,43.54,84.72,62.28,43.54,67.15,26.91,84.72,67.15
"33,340","Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","1,104,318","249,417","126,891","41,454","24,232","1,546,312",71.42,16.13,8.21,2.68,1.57,80.97,59.59,47.44,80.97,79.05,68.77,59.59,79.05,65.01,47.44,68.77,65.01,"1,116,150","240,859","94,511","35,558","13,663","1,500,741",74.37,16.05,6.30,2.37,0.91,82.16,59.52,41.08,82.16,77.94,64.21,59.52,77.94,52.19,41.08,64.21,52.19,"1,158,995","195,247","51,306","18,302","8,299","1,432,149",80.93,13.63,3.58,1.28,0.58,82.76,56.35,42.23,82.76,75.28,72.46,56.35,75.28,44.26,42.23,72.46,44.26,"1,195,932","149,520","34,339","7,369","9,812","1,396,972",85.61,10.70,2.46,0.53,0.70,83.94,55.02,30.86,83.94,75.24,79.60,55.02,75.24,56.09,30.86,79.60,56.09
"33,460","Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","2,608,736","206,711","147,663","166,178","73,124","3,202,412",81.46,6.45,4.61,5.19,2.28,56.17,47.99,46.37,56.17,44.31,44.81,47.99,44.31,49.25,46.37,44.81,49.25,"2,514,494","180,006","99,121","138,066","37,119","2,968,806",84.70,6.06,3.34,4.65,1.25,57.78,46.53,42.65,57.78,36.15,37.22,46.53,36.15,37.50,42.65,37.22,37.50,"2,323,367","88,333","37,903","64,184","25,047","2,538,834",91.51,3.48,1.49,2.53,0.99,62.31,35.51,41.57,62.31,48.65,46.52,35.51,48.65,34.30,41.57,46.52,34.30,"2,024,379","49,464","22,401","19,249","27,948","2,143,441",94.45,2.31,1.05,0.90,1.30,67.73,36.41,29.90,67.73,56.77,63.03,36.41,56.77,40.05,29.90,63.03,40.05
